Season,HomeTeam,HomeTeamPoints,AwayTeam,AwayTeamPoints,total_points,points_per_season,rank
2006/07,Watford,18.0,Watford,10.0,28.0,0.7368421052631579,20
2006/07,West Ham,26.0,West Ham,15.0,41.0,1.0789473684210527,15
2006/07,Wigan,19.0,Wigan,19.0,38.0,1.0,17
2007/08,Arsenal,47.0,Arsenal,36.0,83.0,2.1842105263157894,3
2007/08,Aston Villa,33.0,Aston Villa,27.0,60.0,1.5789473684210527,6
2007/08,Birmingham,26.0,Birmingham,9.0,35.0,0.9210526315789473,19
2007/08,Blackburn,31.0,Blackburn,27.0,58.0,1.5263157894736843,7
2007/08,Bolton,26.0,Bolton,11.0,37.0,0.9736842105263158,16
2007/08,Chelsea,43.0,Chelsea,42.0,85.0,2.236842105263158,2
2007/08,Derby,8.0,Derby,3.0,11.0,0.2894736842105263,20
2007/08,Everton,37.0,Everton,28.0,65.0,1.7105263157894737,5
2007/08,Fulham,20.0,Fulham,16.0,36.0,0.9473684210526315,17
2007/08,Liverpool,42.0,Liverpool,34.0,76.0,2.0,4
2007/08,Man City,37.0,Man City,18.0,55.0,1.4473684210526316,9
2007/08,Man United,52.0,Man United,35.0,87.0,2.289473684210526,1
2007/08,Middlesbrough,26.0,Middlesbrough,16.0,42.0,1.105263157894737,13
2007/08,Newcastle,29.0,Newcastle,14.0,43.0,1.131578947368421,12
2007/08,Portsmouth,29.0,Portsmouth,28.0,57.0,1.5,8
2007/08,Reading,26.0,Reading,10.0,36.0,0.9473684210526315,17
2007/08,Sunderland,30.0,Sunderland,9.0,39.0,1.0263157894736843,15
2007/08,Tottenham,29.0,Tottenham,17.0,46.0,1.2105263157894737,11
2007/08,West Ham,28.0,West Ham,21.0,49.0,1.2894736842105263,10
2007/08,Wigan,29.0,Wigan,11.0,40.0,1.0526315789473684,14
2008/09,Arsenal,38.0,Arsenal,34.0,72.0,1.894736842105263,4
2008/09,Aston Villa,30.0,Aston Villa,32.0,62.0,1.631578947368421,6
2008/09,Blackburn,25.0,Blackburn,16.0,41.0,1.0789473684210527,13
2008/09,Bolton,26.0,Bolton,15.0,41.0,1.0789473684210527,13
2008/09,Chelsea,39.0,Chelsea,44.0,83.0,2.1842105263157894,3
2008/09,Everton,30.0,Everton,33.0,63.0,1.6578947368421053,5
2008/09,Fulham,36.0,Fulham,17.0,53.0,1.394736842105263,7
2008/09,Hull,14.0,Hull,21.0,35.0,0.9210526315789473,17
